NAME	SHORT_NAME	WEBSITE	PHONE	EMAIL	INTAKE_URL	COUNTIES	PRIMARY_CHARGE_TAGS	CASE_COUNT	REPRESENTATIVE_CASES	SOURCE_URLS	PROFILE_TEXT
Alanna D. Coopersmith, Attorney at Law	alanna-d-coopersmith-attorney-at-law	https://www.eastbaydefense.com/	+15106280596	alanna@eastbaydefense.com	https://www.eastbaydefense.com/	san francisco, alameda, contra costa, solano	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, white-collar-crime, murder, federal-crimes	0		https://www.eastbaydefense.com/contact-us/, https://www.eastbaydefense.com/	Alanna D. Coopersmith, Attorney at Law is a Bay Area criminal defense firm. Counties served: san francisco, alameda, contra costa, solano. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, white-collar-crime, murder, federal-crimes. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Andrian & Gallenson	andrian-gallenson	https://www.getyourcasefixed.com	+17075279555		https://www.getyourcasefixed.com/	sonoma, marin, napa	dui, reckless-driving, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation	0		https://www.getyourcasefixed.com/	Andrian & Gallenson is a Bay Area criminal defense firm. Counties served: sonoma, marin, napa. Charge categories: dui, reckless-driving, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, reckless driving, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, probation violation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
ASH Legal	ash-legal	https://ashlegal.com	+14158901021	info@ashlegal.com	https://ashlegal.com/contact/	san francisco, alameda, san mateo, contra costa	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://ashlegal.com/contact/	ASH Legal is a Bay Area criminal defense firm. Counties served: san francisco, alameda, san mateo, contra costa. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Bay Area Criminal Lawyers PC	bacl-pc	https://www.bayareacrimlaw.com	+14155521215	info@baclpc.com	https://www.bayareacrimlaw.com/contact-us/	san francisco, alameda, san mateo, contra costa, santa clara	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.bayareacrimlaw.com/contact-us/	Bay Area Criminal Lawyers PC is a Bay Area criminal defense firm. Counties served: san francisco, alameda, san mateo, contra costa, santa clara. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Bergstrom & Bruce	bergstrom-bruce	https://www.bergstrom-bruce.com	+17079277144		https://www.bergstrom-bruce.com/	napa, sonoma, solano	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation, reckless-driving	0		https://www.bergstrom-bruce.com/	Bergstrom & Bruce is a Bay Area criminal defense firm. Counties served: napa, sonoma, solano. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation, reckless-driving. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Cello & Maudru	cello-law	https://www.cellolaw.com	+16505081536		https://www.cellolaw.com/	san mateo, santa clara, san francisco	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation	0		https://www.cellolaw.com/	Cello & Maudru is a Bay Area criminal defense firm. Counties served: san mateo, santa clara, san francisco. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, white-collar-crime, fraud, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
DefendCA	defendca	https://www.defendca.com	+16502411214		https://www.defendca.com/contact-us/	san mateo, santa clara, san francisco, alameda	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.defendca.com/contact-us/	DefendCA is a Bay Area criminal defense firm. Counties served: san mateo, santa clara, san francisco, alameda. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Demetrius Costy Law	demetrius-costy-law	https://www.costylaw.com/	+15102543945		https://www.costylaw.com/	alameda, bay area, contra costa	dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, sex-crimes, violent-crime	0		https://www.costylaw.com/	Demetrius Costy Law is a Bay Area criminal defense firm. Counties served: alameda, bay area, contra costa. Charge categories: dui, domestic-violence, assault, firearm, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation, sex-crimes, violent-crime. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Emerick Law Offices	emerick-law	https://www.emericklawoffices.com	+17078009529	Scott@emericklawoffices.com	https://www.emericklawoffices.com/contact.html	sonoma, marin, napa	dui, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation	0		https://www.emericklawoffices.com/contact.html	Emerick Law Offices is a Bay Area criminal defense firm. Counties served: sonoma, marin, napa. Charge categories: dui, assault, firearm, drug-possession, drug-trafficking, theft, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, assault, firearm, felon in possession, gun, armed, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
Gabriela Guraiib Law	gabriela-guraiib	https://www.guraiib.com	+16507610148	gabriela@guraiib.com	https://www.guraiib.com/contact	san mateo, santa clara, san francisco	dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation	0		https://www.guraiib.com/contact	Gabriela Guraiib Law is a Bay Area criminal defense firm. Counties served: san mateo, santa clara, san francisco. Charge categories: dui, domestic-violence, assault, drug-possession, drug-trafficking, theft, robbery, burglary, probation-violation. Caller case details to match: dui, driving under the influence, vehicle code section 23152, domestic violence, corporal injury, spousal abuse, domestic battery, assault, drug possession, possession of a controlled substance, narcotics possession, simple possession, drug trafficking, possession with intent, distribution of, conspiracy to distribute, theft, stolen, robbery, carjacking, burglary, probation violation, violation of probation. Useful for JailCall routing when a caller describes matching criminal charges, arrest facts, or case details.
